編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,新竹縣政府107年第二期公報  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2018/02/14 16:39
2,新竹縣政府稅捐稽徵局職員(含聘僱)學歷性別統計表(截至106.6.30)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/12 15:18
3,新竹縣政府稅捐稽徵局職員(含聘僱)年齡性別統計表(截至106.6.30)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/12 15:18
4,新竹縣政府稅捐稽徵局編制內職員性別統計表(截至106.6.30)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/12 15:18
5,新竹縣政府稅捐稽徵局委員會性別比例一覽表(106年6月)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/12 15:18
6,新竹縣政府稅捐稽徵局主管人員性別統計表(截至106.6.30)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/12 15:18
7,新竹縣102年至106年土地增值稅稅源統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/07 11:41
8,新竹縣消防安全檢查不合格場所清冊（107.01）  ,新竹縣政府消防局,新竹縣政府,新竹縣政府消防局,,,,,,2018/02/06 13:44
9,新竹縣最近5年契稅綜合統計表  ,新湖地政事務所,新竹縣政府,新湖地政事務所,,,,,,2018/02/02 11:44
10,106年第4季契稅查定季報表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/02 11:44
11,104年新竹縣地價稅查定統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/19 15:18
12,106年度12月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2018/01/18 15:57
13,新竹縣政府107年第一期公報  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2018/01/16 13:54
14,105年契稅查定季報表(第1季至第4季)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/12 14:11
15,105年新竹縣房屋稅查定統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/12 14:11
16,104年新竹縣房屋稅查定統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/12 14:11
17,新竹縣消防安全檢查不合格場所清冊（106.12）  ,新竹縣政府消防局,新竹縣政府,新竹縣政府消防局,,,,,,2018/01/11 19:13
18,105年度印花稅徵收年報表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/05 11:20
19,104年度印花稅徵收年報表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/05 11:20
20,106(7-12)年新竹縣民眾繳稅管道利用情形  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/04 11:42
21,104年新竹縣民眾繳稅管道利用情形  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/04 11:42
22,106年第4季新竹縣政府稅捐稽徵局辦理行政救濟件數統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/03 10:50
23,105年新竹縣政府稅捐稽徵局辦理行政救濟件數統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/03 10:50
24,104年新竹縣政府稅捐稽徵局辦理行政救濟件數統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/03 10:50
25,105年7月至12月辦理國家賠償事件處理情形統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/03 10:50
26,105年1月至6月新竹縣政府稅捐稽徵局辦理國家賠償事件處理情形統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/03 10:49
27,104年7月至12月新竹縣政府稅捐稽徵局辦理國家賠償事件處理情形統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/03 10:49
28,104年1月至6月新竹縣政府稅捐稽徵局辦理國家賠償事件處理情形統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/03 10:49
29,106年7月至12月新竹縣政府稅捐稽徵局辦理國家賠償事件處理情形統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/15 16:24
30,新竹縣政府稅捐稽徵局105年代發他縣市稅捐機關作業統計  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/29 10:15
31,新竹縣105年房屋稅開徵概況－按納稅義務人性別及年齡別分  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/29 09:54
32,新竹縣105年度地價稅開徵概況－按納稅義務人性別及年齡別分  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/29 09:53
33,新竹縣政府稅捐稽徵局102年代發他縣市稅捐機關作業統計  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/29 09:53
34,新竹縣政府稅捐稽徵局103年代發他縣市稅捐機關作業統計  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/29 09:55
35,新竹縣政府稅捐稽徵局104年代發他縣市稅捐機關作業統計  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/29 09:55
36,新竹縣政府稅捐稽徵局102年全功能服務櫃台服務件數統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/29 09:55
37,新竹縣政府稅捐稽徵局103年全功能服務櫃台服務件數統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/29 09:55
38,新竹縣政府稅捐稽徵局104年全功能服務櫃台服務件數統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/29 09:54
39,107年新竹縣流感抗病毒藥劑合約院所  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2018/02/14 12:04
40,使用牌照稅稅額表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/19 15:08
41,新竹縣政府106年第十二期公報  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/12/18 09:10
42,106年度11月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2017/12/15 15:33
43,新竹縣原住民鄉鎮辦理調解業務概況  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/12/14 09:58
44,新竹縣鄉鎮市調解件數統計  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/12/14 09:58
45,新竹縣房屋地段等級標準表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/13 15:11
46,新竹縣房屋標準單價表(106年7月1日至107年6月30日適用)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/13 14:33
47,新竹縣房屋標準單價表(105年7月1日至106年6月30日適用)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/13 14:33
48,竹北市公所戶政事務所市民代表3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 15:21
49,竹義里集會所二3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 15:19
50,竹義里集會所3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 15:18
51,隘口里集會所3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 15:16
52,竹仁里集會所3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 15:15
53,中興里集會所3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 15:13
54,竹北里集會所3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 15:11
55,十興里集會所3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 15:06
56,鹿場里集會所3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 15:05
57,竹北市東平里集會所3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:58
58,竹北市農會六家辦事處3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:54
59,竹北市農會3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:51
60,農田水利會竹北工作站3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:50
61,六家郵局3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:48
62,竹北中山郵局3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:47
63,嘉豐郵局3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:45
64,博愛郵局3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:40
65,竹北光明郵局3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:38
66,竹北郵局3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:33
67,竹北衛生所3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:32
68,竹北地政事務所(竹仁里)3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:31
69,竹北就業服務站3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:28
70,第一消防大隊竹北消防分隊3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:26
71,新竹三民派出所3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:23
72,六家派出所3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:22
73,高鐵派出所3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:20
74,竹北派出所3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:19
75,新竹縣婦幼館(新竹縣警局交通課)3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:17
76,警察廣播電台3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:16
77,健保局竹北辦公室3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 13:09
78,勞動部勞工保險局新竹縣辦事處3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:59
79,新竹氣象站3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:56
80,內政部入出國及移民署新竹縣服務站3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:55
81,竹北北區國稅局3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:53
82,新竹縣選舉委員會3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:52
83,審計部台灣省新竹市審計室3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:50
84,新竹縣瓦斯管理處3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:48
85,新竹縣東興國小3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:47
86,新竹縣竹北市興隆國小3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:45
87,新竹縣立光明國小3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:41
88,新竹縣立博愛國小3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:40
89,新竹縣立中正國小3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:37
90,新竹縣立十興國小3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:35
91,新竹縣立六家國小3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:33
92,新竹縣立竹北國小3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:31
93,新竹縣立竹仁國小3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:24
94,新竹縣立博愛國中3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:22
95,新竹縣仁愛國中3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:20
96,新竹縣立成功國中3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:18
97,國立竹北國中3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:18
98,新竹縣義民高級中學3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:11
99,國立竹北高中3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:10
100,國立交通大學客家文化學院3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/12/11 11:00
101,106年度10月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2017/12/06 13:59
102,新竹縣消防安全檢查不合格場所清冊（106.11）  ,新竹縣政府消防局,新竹縣政府,新竹縣政府消防局,,,,,,2017/12/06 09:53
103,新竹縣地價稅100年至105年開徵概況－按納稅義務人性別分  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/29 09:54
104,新竹縣房屋稅100年至105年開徵概況－按納稅義務人性別分  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/29 09:54
105,105年新竹縣地價稅查定統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/11/23 10:48
106,106年第3季新竹縣政府稅捐稽徵局辦理行政救濟件數統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/11/27 15:23
107,106年第2季新竹縣政府稅捐稽徵局辦理行政救濟件數統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/11/27 15:23
108,106年第1季新竹縣政府稅捐稽徵局辦理行政救濟件數統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/11/27 15:23
109,106年1月至6月新竹縣政府稅捐稽徵局辦理國家賠償事件處理情形統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/11/27 15:23
110,106年第3季契稅查定季報表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/14 16:54
111,106年第2季契稅查定季報表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/14 16:54
112,106年第1季契稅查定季報表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/14 16:54
113,新竹縣房屋折舊率及耐用年數表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/13 14:24
114,新竹縣房屋稅徵收率  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/13 14:24
115,新竹縣房屋標準單價表(105年6月30日以前適用)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/13 14:33
116,106年新竹縣房屋稅查定統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/13 14:21
117,新竹縣政府稅捐稽徵局106年上半年他機關代發本轄作業統計  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/29 09:54
118,新竹縣政府稅捐稽徵局106年上半年代發他縣市稅捐機關作業統計  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/29 09:54
119,新竹縣政府稅捐稽徵局105年全功能服務櫃台服務件數統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/12/29 09:54
120,新竹縣政府106年第十一期公報  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/11/15 16:48
121,106(1月至6月)年新竹縣民眾繳稅管道利用情形  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/11/15 15:43
122,105年新竹縣民眾繳稅管道利用情形  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/11/15 15:43
123,新竹縣代收稅款金融機構服務據點  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/11/15 15:42
124,竹北市都市計畫區3D建物素模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/11/13 14:58
125,新竹縣都市計畫土地使用分區  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/11/13 14:57
126,新瓦屋客家文化保存區3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/11/13 14:47
127,竹北采田福地3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/11/13 14:45
128,竹北六張犁林家祠(縣定古蹟)3D彩模  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2017/11/13 14:40
