編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
179,106年度5月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2017/06/22 10:42
180,新竹縣政府法律諮詢案件統計  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/15 16:02
181,新竹縣政府106年第五期公報之2  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/15 15:06
182,新竹縣政府106年第五期公報之1  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/15 15:06
183,新竹縣政府106年第六期公報  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/15 14:00
184,訴願業務處理事項件數統計  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/15 15:02
185,1999_106年5月派工資料  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/15 09:43
186,新竹縣政府受理國家賠償受理件數及處理結果  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/15 15:07
187,1999_106年1月~4月派工資料  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/15 09:43
188,1999_105年6月~12月派工資料  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/15 09:40
189,新竹縣政府106年第四期公報  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/15 08:34
190,新竹縣政府106年第三期公報  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/15 08:34
191,新竹縣政府106年第二期公報  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/15 08:34
192,新竹縣政府106年第一期公報  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/15 08:34
193,新竹縣原住民鄉鎮辦理調解業務概況  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/15 15:40
194,新竹縣鄉鎮市調解件數統計  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/15 15:40
195,新竹縣政府電話接聽暨電話禮貌測試作業規定  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/09 17:10
196,新竹縣政府受理民眾檔案開放應用作業流程說明  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/09 11:01
197,新竹縣議會第十八屆第一次定期會縣長施政報告（書面）  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/06 14:44
198,新竹縣議會第十八屆第二次定期大會縣長施政報告（書面）  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/06 14:48
199,新竹縣議會第十八屆第三定期大會縣長施政報告（書面）  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/06 14:47
200,新竹縣議會第十八屆第四定期大會縣長施政報告（書面）  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/06 14:47
201,新竹縣議會第十八屆第一次定期大會縣長施政報告（簡報）  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/06 14:44
202,新竹縣議會第十八屆第二次定期大會縣長施政報告（簡報）  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/06 14:44
203,新竹縣議會第十八屆第三次定期大會縣長施政報告（簡報）  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/06 14:44
204,新竹縣議會第十八屆第四次定期大會縣長施政報告（簡報）  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/06 14:44
205,新竹縣議會第十八屆第五期定期大會縣長施政報告（書面）  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/06 14:47
206,新竹縣議會第十八屆第五次定期大會縣長施政報告（簡報）  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/06/06 14:44
207,新竹縣消防安全檢查不合格場所清冊（106.05）  ,新竹縣政府消防局,新竹縣政府,新竹縣政府消防局,,,,,,2017/09/04 13:46
208,106年4月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2017/05/25 15:54
209,新竹縣政府稅捐稽徵局職員(含聘僱)年齡性別統計表(截至106.12.31)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/01 10:29
210,新竹縣政府稅捐稽徵局職員(含聘僱)學歷性別統計表(截至106.12.31)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/01 10:29
211,新竹縣政府稅捐稽徵局委員會性別比例一覽表(106年12月)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/01 10:23
212,新竹縣政府稅捐稽徵局主管人員性別統計表(截至106.12.31)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/01 10:29
213,新竹縣政府稅捐稽徵局編制內職員性別統計表(截至106.12.31)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/01 10:23
214,107年1月新竹縣各項稅捐實徵淨額與預算數及上年同期比較-累計數  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/06 15:12
215,新竹縣累進起點地價及稅率級距表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/05/05 09:53
216,新竹縣最近五年地價稅稅源統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/09/05 11:26
217,新竹縣最近5年契稅綜合統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/09/05 16:27
218,新竹縣消防安全檢查不合格場所清冊（106.04）  ,新竹縣政府消防局,新竹縣政府,新竹縣政府消防局,,,,,,2017/09/04 12:07
219,新竹縣土地增值稅最近五年稅源統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/05/11 10:13
220,性別統計10601-03  ,人事處,新竹縣政府,人事處,,,,,,2017/05/01 08:49
221,性別統計105010-12  ,人事處,新竹縣政府,人事處,,,,,,2017/05/01 08:49
222,性別統計10507-09  ,人事處,新竹縣政府,人事處,,,,,,2017/05/01 08:48
223,新竹縣最近5年房屋稅綜合統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2017/09/05 16:59
224,106年3月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2017/04/18 14:26
225,新竹縣消防安全檢查不合格場所清冊(106.03)  ,新竹縣政府消防局,新竹縣政府,新竹縣政府消防局,,,,,,2017/09/04 12:07
226,106年2月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2017/03/24 16:36
227,106年1月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2017/02/24 15:13
228,新竹縣消防安全檢查不合格場所清冊(106年2月)  ,新竹縣政府消防局,新竹縣政府,新竹縣政府消防局,,,,,,2017/09/04 13:34
229,105年12月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2017/01/25 11:06
230,105年11月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2017/01/24 16:50
231,新竹縣消防安全檢查不合格場所清冊(106.01)  ,新竹縣政府消防局,新竹縣政府,新竹縣政府消防局,,,,,,2017/09/04 13:28
232,105年08月24日府交管字第1050135576修正水上摩托車及獨木舟注意事項公告  ,交通旅遊處,新竹縣政府,交通旅遊處,,,,,,2016/12/28 14:42
233,105年08月19日府交管字第1050127657號修正裁罰內容公告  ,交通旅遊處,新竹縣政府,交通旅遊處,,,,,,2016/12/28 14:41
234,105年5月13日府交管字第10500067478號修正新月沙灣範圍公告  ,交通旅遊處,新竹縣政府,交通旅遊處,,,,,,2016/12/28 14:41
235,101年07月20日府交管字第1010094776號水域遊憩活動限制性公告  ,交通旅遊處,新竹縣政府,交通旅遊處,,,,,,2016/12/28 14:41
236,97年07月03日府觀管字第0970090644號水域遊憩活動限制性公告  ,交通旅遊處,新竹縣政府,交通旅遊處,,,,,,2016/12/28 14:41
237,97年07月03日府觀管字第0970090643號水域遊憩活動禁止性公告  ,交通旅遊處,新竹縣政府,交通旅遊處,,,,,,2016/12/28 14:40
238,105年度9月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2016/10/17 16:34
239,105年度8月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2016/10/04 10:43
240,新竹縣政府最新債務訊息  ,財政處,新竹縣政府,財政處,,,,,,2018/02/02 09:02
241,105年度7月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2016/08/22 10:37
242,105年度6月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2016/07/14 10:52
243,性別統計10504-06  ,人事處,新竹縣政府,人事處,,,,,,2017/09/11 09:32
244,新竹縣105學年度各鄉鎮（市）國民中學學區劃分表  ,教育處,新竹縣政府,教育處,,,,,,2016/05/10 02:42
245,新竹縣105學年度各鄉鎮（市）國民小學學區劃分表  ,教育處,新竹縣政府,教育處,,,,,,2016/05/10 02:41
246,104年核定公教人員退休人數  ,人事處,新竹縣政府,人事處,,,,,,2017/09/13 14:09
247,104年新竹縣政府公務人員考試新進人員人數  ,人事處,新竹縣政府,人事處,,,,,,2017/05/01 08:55
248,105年度2月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2016/03/09 11:34
249,104年新竹縣政府公務人員參訓人數  ,人事處,新竹縣政府,人事處,,,,,,2017/10/23 08:49
250,性別統計10501-03  ,人事處,新竹縣政府,人事處,,,,,,2017/09/11 09:30
251,105年度1月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2016/02/23 10:33
252,104年度12月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2016/01/20 16:30
253,性別統計10407-12  ,人事處,新竹縣政府,人事處,,,,,,2017/05/01 08:55
254,104年度11月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2015/12/16 11:35
255,104年度10月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2015/11/11 15:26
256,新竹縣政府消防局執行水域救援案件統計  ,新竹縣政府消防局,新竹縣政府,新竹縣政府消防局,,,,,,2016/08/02 15:17
257,104年度9月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2015/10/14 11:16
258,104年度8月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2015/09/09 16:09
259,104年度7月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2015/08/11 14:38
260,新竹縣寵物登記站  ,家畜疾病防治所,新竹縣政府,家畜疾病防治所,,,,,,2015/07/31 10:53
261,新竹縣休閒農場  ,農業處,新竹縣政府,農業處,,,,,,2015/08/20 11:08
262,性別統計10404-06  ,人事處,新竹縣政府,人事處,,,,,,2017/09/11 09:41
263,104年度6月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2015/07/17 09:33
264,新竹縣處理鯨豚救援流程圖  ,農業處,新竹縣政府,農業處,,,,,,2015/07/13 09:47
265,新竹縣列管珍貴老樹資料  ,農業處,新竹縣政府,農業處,,,,,,2015/07/13 09:46
266,新竹縣近海、沿岸、養殖漁業生產量  ,農業處,新竹縣政府,農業處,,,,,,2016/09/22 14:06
267,新竹區漁會資料  ,農業處,新竹縣政府,農業處,,,,,,2016/09/22 14:06
268,新竹縣特殊教育班開班學校名冊  ,教育處,新竹縣政府,教育處,,,,,,2015/07/06 10:07
269,新竹縣都市計畫示意圖資料  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2015/09/04 11:37
270,新竹縣新訂及變更都市計畫案進度查詢  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2015/09/04 11:37
271,新竹縣人力資源重要指標  ,主計處,新竹縣政府,主計處,,,,,,2015/08/14 09:44
272,新竹縣財產量值表  ,財政處,新竹縣政府,財政處,,,,,,2017/10/02 17:23
273,新竹縣未立案短期補習班名冊  ,教育處,新竹縣政府,教育處,,,,,,2015/06/22 15:42
274,新竹縣立案短期補習班  ,教育處,新竹縣政府,教育處,,,,,,2015/06/22 15:37
275,新竹縣未立案幼兒園機構一覽表  ,教育處,新竹縣政府,教育處,,,,,,2015/06/22 13:40
276,新竹縣地政服務機關  ,地政處,新竹縣政府,地政處,,,,,,2017/10/23 10:47
277,日據時期中華民國年號對照表  ,地政處,新竹縣政府,地政處,,,,,,2017/10/23 10:47
278,新竹縣最新債務訊息  ,財政處,新竹縣政府,財政處,,,,,,2015/06/15 15:01
279,新竹縣十大主要死亡原因(民國103年)  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2017/10/24 09:38
280,新竹縣工廠產業類別及行政區域家數  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2015/09/04 11:37
281,新竹縣醫療及醫事機構  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2017/10/24 09:25
282,新竹縣產後護理之家資源清冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2017/10/24 09:25
283,新竹縣西醫診所名冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2017/10/24 09:25
