編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
514,新住民學習中心網-常見問答,嘉義縣政府,嘉義縣政府,,,,11,144,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
515,新住民學習中心網-最新資訊-人口統計,嘉義縣政府,嘉義縣政府,,,,38,212,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
516,新住民學習中心網-最新資訊-最新消息,嘉義縣政府,嘉義縣政府,,,,13,130,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
517,新住民學習中心網-主題專區-教育學習,嘉義縣政府,嘉義縣政府,,,,27,124,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
518,新住民學習中心網-主題專區-社會福利,嘉義縣政府,嘉義縣政府,,,,21,161,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
519,新住民學習中心網-主題專區-就業服務,嘉義縣政府,嘉義縣政府,,,,17,166,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
520,新住民學習中心網-主題專區-歸化,嘉義縣政府,嘉義縣政府,,,,15,148,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
521,新住民學習中心網-主題專區-醫療保健,嘉義縣政府,嘉義縣政府,,,,15,167,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
522,新住民學習中心網-主題專區-警政,嘉義縣政府,嘉義縣政府,,,,10,162,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
523,新住民學習中心網-活動剪影-電子相簿,嘉義縣政府,嘉義縣政府,,,,15,181,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
