編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
19,嘉義縣iTaiwan熱點,嘉義縣政府,嘉義縣政府,,,,,,嘉義縣iTaiwan熱點
21,國立嘉義大學校務基金附屬單位預算,國立嘉義大學,國立嘉義大學,,,,,,國立嘉義大學校務基金附屬單位預算
22,國立嘉義大學103年度附屬單位決算,國立嘉義大學,國立嘉義大學,,,,,,收支餘絀決算表.餘絀撥補決算表.現金流量決算表.平衡表
23,國立嘉義大學104年度附屬單位預算,國立嘉義大學,國立嘉義大學,,,,,,國立嘉義大學104年度附屬單位預算
24,嘉義縣違反法令事業單位,嘉義縣社會局,嘉義縣政府,社會局,,,239,1285,項次、事業單位名稱(負責人姓名)、違反法令條款、違反法規內容、處分書文號、處分日期、備註
27,國立嘉義大學104年1月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
28,國立嘉義大學104年2月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
29,國立嘉義大學104年3月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
30,國立嘉義大學104年4月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
31,國立嘉義大學104年5月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
32,國立嘉義大學104年6月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
33,國立嘉義大學104年7月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
34,嘉義縣政府年度施政計畫,嘉義縣政府,嘉義縣政府,,,,59,1365,為利本府重要施政計畫及預算編列緊密配合，每年度開始前請各局處撰寫施政計畫，內含施政目標與重點、預算配合對照表及重要施政計畫等3表件
35,嘉義縣商業設立登記清冊,嘉義縣政府,嘉義縣政府,,,,,,嘉義縣商業每個月設立登記月報
36,議會定期會縣長口頭施政報告,嘉義縣政府,嘉義縣政府,,,,,,縣長口頭施政報告
37,嘉義縣民有市場名冊,嘉義縣政府,嘉義縣政府,,,,,,鄉鎮市、市集名稱、性質、經營方式、地址
38,政府自行研究得獎清冊,嘉義縣政府,嘉義縣政府,,,,42,897,研究計畫名稱、研究單位、研究人員、研究經費、研究期程
39,嘉義縣公有零售市場名冊,嘉義縣政府,嘉義縣政府,,,,87,1410,鄉鎮市、市集名稱、性質、經營方式、地址
40,嘉義縣傳統公有市場位置資訊,嘉義縣政府,嘉義縣政府,,,,61,1178,鄉鎮市、市集名稱、性質、經營方式、地址
41,嘉義縣縣管區域排水,嘉義縣政府,嘉義縣政府,,,,147,1635,鄉(鎮、市)、排水路名稱、排水出口、權責起點、權責終點、備註
42,嘉義縣現住人口數按性別及原住民身分分,嘉義縣政府,嘉義縣政府,,,,,,區域別、性別、總計、區域人口數、原住民人口數_合計、原住民人口數_平地原住民、原住民人口數_山地原住民
43,嘉義縣轄內抽水站,嘉義縣政府,嘉義縣政府,,,,59,1216,管理單位、水系、抽水站名稱及座標
44,嘉義縣村里鄰戶數、人口數與戶籍動態登記數按性別、登記項目及區域分,嘉義縣政府,嘉義縣政府,,,,,,區域別、村里數、鄰數、戶數、性別、人口數、遷出遷入數、住址變更數、初設戶籍人數、行政區域調整人數、出生死亡數、認領人數、收養人數、終止收養人數、監護人數、輔助人數、未成年子女權利義務行使負擔人數、結婚對數、離婚對數
45,嘉義縣現住人口數按性別及年齡分,嘉義縣政府,嘉義縣政府,,,,,,區域別、性別、總計、年齡
46,嘉義縣現住原住民人口數按性別及年齡分,嘉義縣政府,嘉義縣政府,,,,,,區域別、性別、總計、年齡
47,政府委託研究清冊,嘉義縣政府,嘉義縣政府,,,,32,939,承辦單位、研究計畫名稱、研究計畫摘要概述、研究計畫期間、研究經費、目前執行進度、研究方式
48,嘉義縣結婚人數按性別及原屬國籍(地區)分,嘉義縣政府,嘉義縣政府,,,,,,區域別、性別、總計、國籍別
49,嘉義縣離婚人數按性別及原屬國籍(地區)分,嘉義縣政府,嘉義縣政府,,,,,,區域別、性別、總計、國籍別
50,嘉義縣現住原住民人口數按性別、原住民身分及族別分,嘉義縣政府,嘉義縣政府,,,,,,區域別、性別、族別、總計
51,嘉義縣加油站點資訊,嘉義縣政府,嘉義縣政府,,,,112,1457,加油站名稱、地址
52,各處辦公室電話,嘉義縣政府,嘉義縣政府,,,,44,840,各處辦公室電話－excel
53,嘉義縣受理民眾陳情檢舉登記表,嘉義縣政府,嘉義縣政府,,,,,,具名/匿名、陳情類別、業管單位
54,嘉義縣廉政倫理事件登錄一覽表,嘉義縣政府,嘉義縣政府,,,,,,登錄機關、事件類型、登錄日期、地點、事件內容、處理情形
55,嘉義縣專案清查件數統計表,嘉義縣政府,嘉義縣政府,,,,,,辦理期間、專案清查名稱、自辦/交辦、清查成果概述
56,嘉義縣大客車禁行路段,嘉義縣政府,嘉義縣政府,,,,71,936,項次，縣市別，鄉鎮市區，路線路名，路線樁號，管制通行，路況概述，提報單位，公告日期及文號
57,嘉義縣大客車行駛應特別注意路段,嘉義縣政府,嘉義縣政府,,,,59,729,項次，縣市別，鄉鎮市區，路線路名，路線樁號，管制通行，路況概述，提報單位，單位來函(或公告函)
58,嘉義縣104年交通號誌及行人專用時相位置表,嘉義縣政府,嘉義縣政府,,,,,,鄉鎮市，編號，路段名稱，燈桿數，燈箱數形式，衛星，主控卡，副卡，通信卡，介面卡，輸出器，型號，狀況，備註
59,嘉義縣砂石車、大貨車禁行路段,嘉義縣政府,嘉義縣政府,,,,96,1437,編號，鄉鎮市別，禁行路段，禁行重量，替代道路，禁行時段，備註(總重)
60,嘉義縣各村里活動中心基本資料表,嘉義縣政府,嘉義縣政府,,,,,,活動中心名稱，負責人姓名，地址，電話
61,歷年自辦市地重劃成果統計表,嘉義縣政府,嘉義縣政府,,,,54,900,提供本縣自辦市地重劃之總面積、建築用地面積、工程費用等資料
62,歷年公辦農村社區土地重劃成果統計表,嘉義縣政府,嘉義縣政府,,,,0,25,提供本縣公辦農村社區土地重劃區名稱、鄉鎮、面積等資料
63,歷年早期農地重劃鄉鎮農水路更新改善資料統計表,嘉義縣政府,嘉義縣政府,,,,18,490,年度、鄉鎮市、重劃區別、更新改善面積(公頃)、農路改善長度(公尺)、核配經費
64,歷年辦理農地重劃成果統計表,嘉義縣政府,嘉義縣政府,,,,40,648,提供本縣公辦農地重劃區名稱、鄉鎮、面積等資料
65,鄉鎮_歷年農地重劃區更新改善一覽表,嘉義縣政府,嘉義縣政府,,,,,,提供本縣標售農地重劃區土地標售成果資料
66,嘉義縣法律扶助諮詢服務一覽表,嘉義縣政府,嘉義縣政府,,,,207,1471,提供法律諮詢的律師、服務時間、服務地點、助理人員及服務電話
67,國立嘉義大學104年8月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
68,嘉義縣市區公車運量資訊,嘉義縣政府,嘉義縣政府,,,,105,1097,路線編號，路線名稱，人數
69,嘉義縣年度總預算暨嘉義縣總預算附屬單位預算,嘉義縣政府,嘉義縣政府,,,,,,歲入歲出簡明比較分析表、歲入歲出性質及餘絀簡明比較分析表、收支簡明比較分析表收支餘絀綜計表、損益綜計表與特別收入基金來源、用途及餘絀綜計表
70,嘉義縣統計年報,嘉義縣政府,嘉義縣政府,,,,218,1085,土地、人口、行政組織、農林漁牧
71,嘉義縣有線電視業者名冊,嘉義縣政府,嘉義縣政府,,,,24,611,"公司名稱,營業地址,客服電話,經營區"
72,嘉義縣各公所列管都市公園綠地清冊,嘉義縣政府,嘉義縣政府,,,,138,1354,序號，鄉鎮市區別，公園綠地名稱，面積，主要出入口位置，管理單位(公頃)
74,嘉義縣各級學校查詢,嘉義縣政府,嘉義縣政府,,,,68,1106,學校名稱、地址、電話
75,嘉義縣國小人數,嘉義縣政府,嘉義縣政府,,,,122,1207,"嘉義縣,國小"
76,嘉義縣國小新生報到人數,嘉義縣政府,嘉義縣政府,,,,37,591,"國小,人數"
77,嘉義縣第20屆村里長名冊,嘉義縣政府,嘉義縣政府,,,,,,"鄉鎮市,村里別,姓名,職稱,郵遞區號,通訊地址"
78,嘉義縣國中小鄉鎮查詢,嘉義縣政府,嘉義縣政府,,,,24,710,"地區,學校,鄉鎮"
79,嘉義縣國中各校男女生人數,嘉義縣政府,嘉義縣政府,,,,23,703,"地區,國中,男生,女生,人數"
80,嘉義縣國中、小學校代碼,嘉義縣政府,嘉義縣政府,,,,30,659,"地區,學校,代碼"
81,嘉義縣政府及其所屬機關職（教）員合計年齡統計表,嘉義縣政府,嘉義縣政府,,,,41,811,總計、平均年齡、24歲以下、25-29歲、30-34歲、35-39歲、40-44歲、45-49歲、50-54歲、55-59歲、60-64歲、65歲以上
82,嘉義縣政府及其所屬機關職（教）員合計官等性別統計表,嘉義縣政府,嘉義縣政府,,,,35,898,民選首長、政務人員、簡薦委任人員(派)、警察人員、醫事人員、校長及教師
83,嘉義縣各處首長及副首長聯絡資訊,嘉義縣政府,嘉義縣政府,,,,,,服務機關/單位、職稱、姓名、辦公室分機
84,嘉義縣政府編制表,嘉義縣政府,嘉義縣政府,,,,,,職稱、官等或級別、職等、員額
85,嘉義縣國中人數,嘉義縣政府,嘉義縣政府,,,,82,1242,"地區,國中,人數"
86,嘉義縣年度總決算,嘉義縣政府,嘉義縣政府,,,,,,總述、決算審核結果、最終審定數額表、其他附表、附錄
87,嘉義縣災民收容所清冊,嘉義縣社會局,嘉義縣政府,社會局,,,127,1508,編號、災民收容所名稱、聯絡人姓名、聯絡人電話、收容所縣市、收容所鄉鎮、收容所村里、收容所地址、容納人數
88,嘉義縣各鄉鎮市殯葬服務業許可名冊,嘉義縣政府,嘉義縣政府,,,,149,1143,"編號,鄉鎮市,商號名稱,負責人,電話,營業住址"
89,嘉義縣殯儀館納骨堂設置概況,嘉義縣政府,嘉義縣政府,,,,,,"殯儀館名稱,座落位置,連絡住址及電話"
90,嘉義縣已立案教會一覽表,嘉義縣政府,嘉義縣政府,,,,70,990,"財團法人名稱,設立許可機關,設立登記,日期,董事長姓名,主事務地址,聯絡電話,傳真"
91,嘉義縣已登記寺廟一覽表,嘉義縣政府,嘉義縣政府,,,,173,1570,"鄉別,寺廟名稱,主祀神佛像,教別,組織型態,寺廟地址,負責人姓名,登記證字 號,電話,備註(鎮市)"
92,嘉義縣各鄉鎮農產品介紹,嘉義縣政府,嘉義縣政府,,,,90,1382,農產品
93,嘉義縣養禽場採樣檢體名冊,嘉義縣政府,嘉義縣政府,,,,,,禽種別 飼養隻數 種別
94,嘉義縣珍貴老樹,嘉義縣政府,嘉義縣政府,,,,114,1353,樹種名
95,嘉義縣農特產精品館,嘉義縣政府,嘉義縣政府,,,,,,網址
96,嘉義縣國家級重要溼地,嘉義縣政府,嘉義縣政府,,,,122,995,名稱
97,地方政府公共債務揭露,嘉義縣大埔鄉公所,嘉義縣政府,大埔鄉公所,,,,,
98,嘉義縣大林鎮公所公共債務訊息,嘉義縣大林鎮公所,嘉義縣政府,大林鎮公所,,,,,
101,嘉義縣身心障礙福利機構概況,嘉義縣社會局,嘉義縣政府,社會局,,,44,559,身心障礙福利機構數、核定安置服務人數、實際安置服務人數、本季服務人次、特教單位委託人數、勞政單位委託人數
102,嘉義縣照顧低收入戶概況,嘉義縣社會局,嘉義縣政府,社會局,,,,,低收入戶當季申請件數、低收入戶當季通過件數、低收入戶數、低收入戶特殊項目救助及服務人次、低收入戶生活扶助及高中職以上就學生活補助人次、低收入戶輔導就業服務人次
103,嘉義縣辦理急難救助概況,嘉義縣社會局,嘉義縣政府,社會局,,,26,571,項目、救助人次、救助金額
105,第18屆第2次嘉義縣議會定期會縣長口頭施政報告,嘉義縣政府,嘉義縣政府,,,,,,該次定期會前半年期間縣府重要施政成果
106,嘉義縣社區照顧關懷據點,嘉義縣社會局,嘉義縣政府,社會局,,,161,1593,序號、單位、據點電話、據點地址
107,嘉義縣立案老人安養護機構,嘉義縣社會局,嘉義縣政府,社會局,,,127,892,項次、機構名稱、負責人、核准床數、立案日期文號、住址、電話
108,嘉義縣立案托嬰中心,嘉義縣社會局,嘉義縣政府,社會局,,,204,1854,名稱、核定收托人數、地址、負責人、電話
109,嘉義縣兒童安置教養機構,嘉義縣社會局,嘉義縣政府,社會局,,,26,774,名稱、負責人、地址、電話、核定床位數
110,嘉義縣視障者按摩院,嘉義縣社會局,嘉義縣政府,社會局,,,40,710,營業所、負責人、地址、電話
111,嘉義縣職業工會,嘉義縣社會局,嘉義縣政府,社會局,,,72,871,工會名稱、理事長姓名、會址、電話
112,嘉義縣企業工會,嘉義縣社會局,嘉義縣政府,社會局,,,36,685,工會名稱、理事長姓名、會 址、電話
113,嘉義縣社區發展協會,嘉義縣社會局,嘉義縣政府,社會局,,,80,1603,團體名稱、理事長姓名、會址、電話
114,嘉義縣合作社場,嘉義縣社會局,嘉義縣政府,社會局,,,56,1174,社場名稱、理事主席、社址、電話
115,嘉義縣人民團體,嘉義縣社會局,嘉義縣政府,社會局,,,110,1615,業別、團體名稱、會址、電話
116,嘉義縣已立案之老人福利機構收住人數統計,嘉義縣社會局,嘉義縣政府,社會局,,,96,712,機構名稱、負責人、核准床數、收住人數、地址、電話及傳真
117,嘉義縣預告統計資料發布時間表,嘉義縣社會局,嘉義縣政府,社會局,,,19,525,編號、資料種類、資料項目、發布形式、預定發布時間、備註
118,嘉義縣委託辦理老人收容照顧合約機構,嘉義縣社會局,嘉義縣政府,社會局,,,40,762,機構名稱、住址、最近一次評鑑成績、電話
119,嘉義縣公車處站位資訊,嘉義縣公共汽車管理處,嘉義縣政府,公共汽車管理處,,,141,946,站名、站位、路線
120,嘉義縣公車處嘉義站時刻表,嘉義縣公共汽車管理處,嘉義縣政府,公共汽車管理處,,,,,公車時刻表
121,嘉義縣公車處大雅站時刻表,嘉義縣公共汽車管理處,嘉義縣政府,公共汽車管理處,,,195,2082,時刻表
122,嘉義縣財政稅務局縣有非公用土地換約續租申請書,嘉義縣財政稅務局,嘉義縣政府,財政稅務局,,,,,"申請人,土地標示,繳附證件"
123,嘉義縣健走步道資料,嘉義縣衛生局,嘉義縣政府,衛生局,,,,,嘉義縣健走步道資料
124,105年度社區複合式篩檢日程,嘉義縣衛生局,嘉義縣政府,衛生局,,,,,106年度辦理社區複合式篩檢日期及地點
125,105-107年指定藥癮戒治機構,嘉義縣衛生局,嘉義縣政府,衛生局,,,38,629,105-107年指定藥癮戒治機構
126,嘉義縣乙、丙級清除機構基本資料,嘉義縣環境保護局,嘉義縣政府,環境保護局,,,33,473,嘉義縣乙、丙級清除機構基本資料
127,嘉義縣身心障礙人數年齡分配,嘉義縣社會局,嘉義縣政府,社會局,,,34,658,新舊制別及年齡别、障礙等級別、性別
128,嘉義縣身心障礙人數鄉鎮市分配,嘉義縣社會局,嘉義縣政府,社會局,,,,,新舊制別及鄉鎮市區別、障礙等級別、性別
129,嘉義縣電動機車充電站設置地點,嘉義縣環境保護局,嘉義縣政府,環境保護局,,,94,1884,嘉義縣電動機車充電站設置地點一覽表
130,嘉義縣消防局各單位座標位置,嘉義縣消防局,嘉義縣政府,消防局,,,,,單位座標
131,嘉義縣消防局各單位地址電話,嘉義縣消防局,嘉義縣政府,消防局,,,,,單位地址電話
132,嘉義縣衛生局藥物濫用防制諮詢調查表,嘉義縣衛生局,嘉義縣政府,衛生局,,,32,567,嘉義縣衛生局藥物濫用防制諮詢調查表
133,使用牌照稅稅額表,嘉義縣財政稅務局,嘉義縣政府,財政稅務局,,,1,14,使用牌照稅
134,嘉義縣高風險家庭關懷服務單位,嘉義縣社會局,嘉義縣政府,社會局,,,23,733,委託單位、聯繫電話、地址、服務區域
135,焚化廠地址,嘉義縣環境保護局,嘉義縣政府,環境保護局,,,,,嘉義縣鹿草焚化廠網站
136,嘉義縣各鄉鎮避難收容處所,嘉義縣消防局,嘉義縣政府,消防局,,,21,82,收容處所
137,嘉義縣交通接送服務辦理單位,嘉義縣社會局,嘉義縣政府,社會局,,,97,1411,服務單位、連絡人、聯絡電話、住址、服務區域
138,嘉義縣消防局重大不合格場所,嘉義縣消防局,嘉義縣政府,消防局,,,,,嘉義縣消防局105年重大不合格場所
139,嘉義縣喘息服務合約單位,嘉義縣社會局,嘉義縣政府,社會局,,,,,機構名稱、連絡人、聯絡電話、機構住址
140,嘉義縣居家復健辦理單位,嘉義縣社會局,嘉義縣政府,社會局,,,,,服務單位、聯絡電話(聯絡人)、住址、承做區域
141,嘉義縣居家服務辦理單位,嘉義縣社會局,嘉義縣政府,社會局,,,63,673,服務單位、聯絡電話(聯絡人)、住址
142,嘉義縣居家護理服務合約單位,嘉義縣社會局,嘉義縣政府,社會局,,,,,服務單位、聯絡電話、連絡人、住址、主要服務區
143,嘉義縣日間照顧服務辦理單位,嘉義縣社會局,嘉義縣政府,社會局,,,58,562,服務單位、聯絡電話(聯絡人)、基金會地址、日間照顧中心地址
144,嘉義縣103年火災調查統計-按起火處所分,嘉義縣消防局,嘉義縣政府,消防局,,,,,嘉義縣103年火災調查統計-按起火處所分
145,嘉義縣103年火災調查統計-按起火原因分,嘉義縣消防局,嘉義縣政府,消防局,,,,,嘉義縣103年火災調查統計-按起火原因分
146,嘉義縣103年火災調查統計-按起火建築物分,嘉義縣消防局,嘉義縣政府,消防局,,,,,嘉義縣103年火災調查統計-按起火建築物分
147,嘉義縣103年火災調查統計-按分類及時間分,嘉義縣消防局,嘉義縣政府,消防局,,,,,嘉義縣103年火災調查統計-按分類及時間分
148,嘉義縣103年火災調查統計-按人員死傷、財物損失分,嘉義縣消防局,嘉義縣政府,消防局,,,,,嘉義縣103年火災調查統計-按人員死傷、財物損失分
149,104年度復查案件各項稅目處理辦結情形分析圖表,嘉義縣財政稅務局,嘉義縣政府,財政稅務局,,,,,項目、件數、稅目
150,嘉義縣消防局105年度歲入來源別預算表,嘉義縣消防局,嘉義縣政府,消防局,,,,,科目(款、項、目、節、名稱及編號)、本年度預算數、上年度預算數、前年度決算數、本年度與上年度比較、說明及法令依據
151,嘉義縣消防局105年度歲出機關別預算表,嘉義縣消防局,嘉義縣政府,消防局,,,,,科目(款、項、目、節、名稱及編號)、本年度預算數、上年度預算數、前年度決算數、本年度與上年度比較、說明
152,赴大陸地區返台意見表,嘉義縣財政稅務局,嘉義縣政府,財政稅務局,,,,,赴大陸地區返台意見表
153,房屋標準單價表、房屋構造別代號表及房屋用途類別及用途細類別對照表,嘉義縣財政稅務局,嘉義縣政府,財政稅務局,,,,,房屋標準單價表、房屋構造別代號表及房屋用途類別及用途細類別對照表
154,嘉義縣古蹟,嘉義縣文化觀光局,嘉義縣政府,文化觀光局,,,86,1007,"編號,名稱,指定別,主管機關,類別,位置,公告日期"
155,嘉義縣流感抗病毒藥劑克流感合約醫療院所配置點一覽表,嘉義縣衛生局,嘉義縣政府,衛生局,,,,,鄉鎮市醫療機構名稱醫院等級
156,公費流感抗病毒藥劑使用對象一覽表,嘉義縣衛生局,嘉義縣政府,衛生局,,,25,407,公費流感抗病毒藥劑使用對象一覽表
157,外國人健康檢查指定醫院,嘉義縣衛生局,嘉義縣政府,衛生局,,,12,128,醫院代碼醫院名稱醫院所在地
158,腸病毒重症醫療網,嘉義縣衛生局,嘉義縣政府,衛生局,,,9,175,區別縣巿別責  任  醫  院
159,105－107年度衛生福利部指定藥癮戒治機構,嘉義縣衛生局,嘉義縣政府,衛生局,,,,,分區縣市醫療院所
160,105年度嘉義縣卡介苗接種門診時間及服務單位,嘉義縣衛生局,嘉義縣政府,衛生局,,,,,醫療院所名稱卡介苗注射時間
161,105年度愛滋病匿名篩檢諮詢服務機構名冊,嘉義縣衛生局,嘉義縣政府,衛生局,,,11,268,設置單位地址聯絡電話
162,嘉義縣公廁建檔基本資料,嘉義縣環境保護局,嘉義縣政府,環境保護局,,,70,684,嘉義縣公廁建檔基本資料
163,嘉義縣噪音管制區圖,嘉義縣環境保護局,嘉義縣政府,環境保護局,,,80,1104,嘉義縣噪音管制區圖
164,嘉義縣甲乙級廢棄物清除處理機構,嘉義縣環境保護局,嘉義縣政府,環境保護局,,,36,511,嘉義縣甲乙級廢棄物清除處理機構
165,嘉義縣病媒防治業及販賣業名單,嘉義縣環境保護局,嘉義縣政府,環境保護局,,,28,450,嘉義縣病媒防治業及販賣業名單
166,嘉義縣飲用水保護區,嘉義縣環境保護局,嘉義縣政府,環境保護局,,,32,445,嘉義縣飲用水保護區
167,跨縣市飲用水保護區,嘉義縣環境保護局,嘉義縣政府,環境保護局,,,40,649,跨縣市飲用水保護區
169,嘉義縣民宿資料庫,嘉義縣文化觀光局,嘉義縣政府,文化觀光局,,,7,81,民宿編號、合法民宿名稱、負責人姓名、地址、電話
170,嘉義縣警察局業務職掌,嘉義縣警察局,嘉義縣政府,警察局,,,35,421,單位名稱、聯絡電話、業務職掌
171,嘉義縣警察局組織編制,嘉義縣警察局,嘉義縣政府,警察局,,,52,427,提供警察局組織編制情形
172,嘉義縣警察局員警退休人數統計,嘉義縣警察局,嘉義縣政府,警察局,,,82,712,嘉義縣警察局警察官及簡薦委人員退休情形
173,嘉義縣警察局固定式違規照相設備設置地點,嘉義縣警察局,嘉義縣政府,警察局,,,32,437,編號、設置地點、轄區分局
174,嘉義縣交通肇事案件資料,嘉義縣警察局,嘉義縣政府,警察局,,,91,655,十大易肇事路段及十大易肇事原因統計(口)
175,嘉義縣警察局移動式違規照相設備設置地點,嘉義縣警察局,嘉義縣政府,警察局,,,31,432,編號、地點
176,嘉義縣警察局取締酒駕違規及移送法辦件數一覽表,嘉義縣警察局,嘉義縣政府,警察局,,,81,727,移送法辦案件、違規案件、拒測案件、行經路檢點不依指示停車接受稽查
177,嘉義縣合法當鋪業資料,嘉義縣警察局,嘉義縣政府,警察局,,,66,455,店舖名稱、營業地點
178,全功能櫃檯作業項目應備證件項目,嘉義縣財政稅務局,嘉義縣政府,財政稅務局,,,,,全功能櫃檯作業項目應備證件項目
179,嘉義縣刑事案件統計資料,嘉義縣警察局,嘉義縣政府,警察局,,,70,421,主要提供各項刑事案件統計資料
180,嘉義縣犯罪統計資訊,嘉義縣警察局,嘉義縣政府,警察局,,,87,667,全般刑案發生件數、全般刑案破獲件數
181,嘉義地區精神醫療資源概況表,嘉義縣衛生局,嘉義縣政府,衛生局,,,15,111,嘉義地區精神醫療資源概況表
182,嘉義地區精神社區復健機構資源概況表,嘉義縣衛生局,嘉義縣政府,衛生局,,,,,嘉義地區精神社區復健機構資源概況表
183,嘉義縣社區心理衛生中心臨床心理師服務資源,嘉義縣衛生局,嘉義縣政府,衛生局,,,,,嘉義縣社區心理衛生中心臨床心理師服務資源
184,嘉義縣身心障礙者日間照顧及住宿式照顧合約機構一覽表,嘉義縣衛生局,嘉義縣政府,衛生局,,,,,嘉義縣身心障礙者日間照顧及住宿式照顧合約機構一覽表
185,嘉義縣各鄉鎮市救護車統計表,嘉義縣衛生局,嘉義縣政府,衛生局,,,,,嘉義縣各鄉鎮市救護車統計表
186,105年度嘉義縣衛生局指定本縣醫療機構開設身心障礙牙科服務門診,嘉義縣衛生局,嘉義縣政府,衛生局,,,,,105年度嘉義縣衛生局指定本縣醫療機構開設身心障礙牙科服務門診
187,嘉義縣醫療機構,嘉義縣衛生局,嘉義縣政府,衛生局,,,,,嘉義縣醫療機構
188,嘉義縣住宅竊盜點位資訊,嘉義縣警察局,嘉義縣政府,警察局,,,105,662,日期、時間、住宅竊盜發生地點
189,嘉義縣汽車竊盜點位資訊,嘉義縣警察局,嘉義縣政府,警察局,,,51,401,日期、時間、汽車竊盜發生地點
190,嘉義縣自行車竊盜點位資訊,嘉義縣警察局,嘉義縣政府,警察局,,,43,422,日期、時間、自行車竊盜發生地點
191,嘉義縣合法保全業者資料,嘉義縣警察局,嘉義縣政府,警察局,,,35,354,公司名稱、住址
192,嘉義縣違反毒品危害防制條例行政裁罰處分人數統計表,嘉義縣警察局,嘉義縣政府,警察局,,,52,501,第三、四級毒品行政裁罰處分人數
193,嘉義縣警察局各分局巡邏線箱數量,嘉義縣警察局,嘉義縣政府,警察局,,,22,315,巡邏線箱數量
194,嘉義縣警察局各分駐(派出)所數量,嘉義縣警察局,嘉義縣政府,警察局,,,31,383,各分局分駐所數量統計(派出)
195,嘉義縣警察局社區治安會議辦理情形統計表,嘉義縣警察局,嘉義縣政府,警察局,,,32,422,辦理場次、與會人數
196,嘉義縣警察局路口監錄系統設置地點,嘉義縣警察局,嘉義縣政府,警察局,,,48,450,編號、鄉鎮、管轄分局、管轄派出所、鏡頭數、攝影機監視裝設位置
197,嘉義縣警察局列管槍枝、刀械統計表,嘉義縣警察局,嘉義縣政府,警察局,,,32,406,列管槍枝、刀械
198,嘉義縣警察局各單位電話地址,嘉義縣警察局,嘉義縣政府,警察局,,,36,387,單位、郵遞區號、地址、電話
199,嘉義縣警察局財產統計表,嘉義縣警察局,嘉義縣政府,警察局,,,25,355,提供本局每年各項財產增減情形
200,嘉義縣警察局警用車輛油料管理報表,嘉義縣警察局,嘉義縣政府,警察局,,,78,617,提供本局警用車輛油料使用情形
201,嘉義縣警察局警光山莊電話、地址,嘉義縣警察局,嘉義縣政府,警察局,,,14,385,警光山莊電話及地址
202,嘉義縣警察局施政計畫,嘉義縣警察局,嘉義縣政府,警察局,,,50,343,年度施政計畫
203,嘉義縣警察局服務品質獎參獎申請書,嘉義縣警察局,嘉義縣政府,警察局,,,61,412,提供本局年各項勤業務績效報告
204,嘉義縣易發生婦幼被害犯罪地點資料,嘉義縣警察局,嘉義縣政府,警察局,,,55,353,地點位置、管轄警察局、分局
205,嘉義縣高再犯危險之性侵害加害人人數統計表,嘉義縣警察局,嘉義縣政府,警察局,,,33,385,高再犯危險之性侵害加害人人數統計
206,嘉義縣警察局處理家庭暴力案件統計表,嘉義縣警察局,嘉義縣政府,警察局,,,52,469,受理家庭暴力案件數、聲請保護令件數、執行保護令件數、執行保護令次數、違反保護令罪、逮捕現行犯人次、交保或飭回後採取相關保護措施件數
207,嘉義縣警察局110電話抽訪情形,嘉義縣警察局,嘉義縣政府,警察局,,,59,451,110電話抽訪情形
208,嘉義縣警察局防空避難設備統計表,嘉義縣警察局,嘉義縣政府,警察局,,,98,396,地下室、防空洞、防空坑、防空掩體、防空壕、緊急避難所數量
209,臺灣健康社區六星計畫社區治安績效季報表,嘉義縣警察局,嘉義縣政府,警察局,,,67,684,健康社區六星計畫社區治安績效
210,嘉義縣警察局單位預算彙整表,嘉義縣警察局,嘉義縣政府,警察局,,,48,515,主要提供歲入來源別預算表及歲出機關別預算表
211,嘉義縣警察局義勇警察訓練及服勤成果統計表,嘉義縣警察局,嘉義縣政府,警察局,,,25,359,義勇警察訓練及服勤成果統計
212,嘉義縣警察局歲出預算編列暨執行統計,嘉義縣警察局,嘉義縣政府,警察局,,,80,419,歲出預算編列暨執行情形統計
213,嘉義縣警察局民防團隊編組人數統計表,嘉義縣警察局,嘉義縣政府,警察局,,,67,425,民防團隊編組人數統計
214,嘉義縣警察局運用山地義勇警察服行山地警備治安協助勤務人數統計表,嘉義縣警察局,嘉義縣政府,警察局,,,45,367,運用山地義勇警察服行山地警備治安協助勤務人數
215,嘉義縣警察局A1類道路交通事故統計表─時間別,嘉義縣警察局,嘉義縣政府,警察局,,,183,632,A1類道路交通事故─時間別
216,嘉義縣警察局A1+A2類道路交通事故統計表─時間別,嘉義縣警察局,嘉義縣政府,警察局,,,128,773,A1+A2類道路交通事故─時間別
